State,County,Diabetes Estimate
Tennessee,Crockett County,1003.1
Iowa,Cass County,1004.2
Mississippi,Noxubee County,1004.5
Wyoming,Goshen County,1005.7
Kentucky,Morgan County,1007.5
Nebraska,Seward County,1007.5
Mississippi,Perry County,1008.1
Georgia,Dade County,1010.4
Iowa,Madison County,1011.1
Montana,Park County,1013.8
Wisconsin,Buffalo County,1015.8
Kentucky,Union County,1016.4
Kansas,Linn County,1019
Georgia,Wilkes County,1020.5
Alabama,Cleburne County,1022.3
Oklahoma,Washita County,1023.4
Minnesota,Chippewa County,1024.7
Louisiana,Bienville Parish,1025.9
Washington,San Juan County,1026.3
Colorado,Archuleta County,1027.4
North Carolina,Clay County,1029.6
Kansas,Marion County,1030.8
Virginia,Manassas Park City,1031.1
Alabama,Wilcox County,1031.7
Kentucky,Estill County,1032.8
Illinois,Richland County,1033.2
Tennessee,Decatur County,1033.2
Montana,Sanders County,1034.6
Idaho,Fremont County,1035.4
Iowa,Shelby County,1036
Tennessee,Jackson County,1036.5
Kentucky,Henry County,1038.4
Virginia,Amelia County,1040.5
Kentucky,Larue County,1040.8
Texas,Willacy County,1041.4
Nevada,Humboldt County,1042.2
Oklahoma,Hughes County,1043
Illinois,Pike County,1043.6
Kansas,Jackson County,1043.6
Utah,Duchesne County,1045.6
Iowa,Hamilton County,1046.2
Georgia,Crawford County,1048.1
Texas,Sabine County,1048.5
Ohio,Morgan County,1048.8
Texas,Newton County,1052.4
Montana,Jefferson County,1052.5
Alaska,Ketchikan Gateway Borough,1053.5
Tennessee,Meigs County,1053.7
Texas,Callahan County,1054
Michigan,Mackinac County,1054.1
Kentucky,Lawrence County,1055.7
Iowa,Crawford County,1055.8
Iowa,Tama County,1056.6
Colorado,Pitkin County,1057.2
Virginia,Greensville County,1058.9
Georgia,Jasper County,1059.2
Pennsylvania,Fulton County,1060.1
Wisconsin,Ashland County,1061.8
New Mexico,Los Alamos County,1062.7
Missouri,Cooper County,1063
Oklahoma,Pawnee County,1063.2
Minnesota,Koochiching County,1063.7
Virginia,Madison County,1064
Wyoming,Carbon County,1067.1
West Virginia,Summers County,1069.8
Louisiana,Jackson Parish,1071.4
Minnesota,Renville County,1073.9
Mississippi,Jefferson Davis County,1076.1
Montana,Roosevelt County,1076.4
Montana,Hill County,1077.5
Florida,Franklin County,1078.1
Kentucky,Pendleton County,1078.2
Georgia,Johnson County,1079.6
North Carolina,Mitchell County,1081.1
Illinois,Carroll County,1082.3
Virginia,Floyd County,1085
Wisconsin,Bayfield County,1085.4
Illinois,Bond County,1085.8
Virginia,Essex County,1086.3
Indiana,Vermillion County,1086.9
Iowa,Buena Vista County,1088.5
Virginia,Middlesex County,1090.5
Wisconsin,Crawford County,1091.2
Utah,Millard County,1091.4
Missouri,Ripley County,1094.4
Idaho,Gooding County,1094.8
Illinois,Piatt County,1096.2
Kentucky,Jackson County,1098.7
North Carolina,Pamlico County,1101.3
Wisconsin,Washburn County,1102.5
Nebraska,Saline County,1102.8
Kansas,Neosho County,1106.3
Georgia,Oglethorpe County,1106.6
Virginia,Northumberland County,1107.9
Alabama,Sumter County,1110.2
Illinois,Warren County,1112.6
North Carolina,Washington County,1116
Tennessee,Bledsoe County,1116.8
Kentucky,Breathitt County,1119
Kentucky,Bath County,1119.2
Tennessee,Grundy County,1120.5
Illinois,Wayne County,1123.7
Georgia,Macon County,1125.5
Iowa,Union County,1126.4
Colorado,Grand County,1126.8
Tennessee,Chester County,1127.1
Georgia,Screven County,1127.3
Georgia,Long County,1128
Oklahoma,Murray County,1130.6
Michigan,Arenac County,1133.8
Iowa,Winneshiek County,1134.2
Indiana,Newton County,1134.3
Oklahoma,Craig County,1134.4
Virginia,Northampton County,1134.5
Michigan,Alcona County,1134.7
Kentucky,Magoffin County,1135.5
Iowa,Cedar County,1136.4
South Dakota,Union County,1136.5
Arkansas,Izard County,1136.7
Michigan,Missaukee County,1138
Michigan,Crawford County,1139.6
Texas,Falls County,1141.8
Georgia,Towns County,1142.9
Virginia,King William County,1146.3
Texas,Robertson County,1149.3
Mississippi,Kemper County,1151.2
Ohio,Monroe County,1152.4
Arkansas,Madison County,1155.2
Iowa,Iowa County,1158.2
Missouri,Andrew County,1158.5
Illinois,Union County,1158.8
Virginia,Charlotte County,1159.6
South Dakota,Oglala Lakota County,1160.8
Louisiana,West Feliciana Parish,1161
Wyoming,Uinta County,1162.9
Mississippi,Lawrence County,1163.3
California,Colusa County,1164.9
Iowa,Jefferson County,1170.2
Kentucky,Lewis County,1170.8
New Mexico,Torrance County,1173.8
North Dakota,Richland County,1174.8
Kansas,Allen County,1176.2
Wisconsin,Marquette County,1177.7
Iowa,Mills County,1178.1
Virginia,Dickenson County,1178.3
Minnesota,Redwood County,1179.2
Nebraska,York County,1179.4
Nebraska,Otoe County,1179.9
Texas,Lee County,1182
Iowa,Floyd County,1183.6
Iowa,Harrison County,1185.6
Missouri,Dallas County,1185.7
Washington,Pend Oreille County,1188.4
Alabama,Conecuh County,1188.7
Kentucky,Caldwell County,1189.3
Oklahoma,Kingfisher County,1193.2
North Carolina,Swain County,1197.7
North Carolina,Perquimans County,1201.2
Virginia,Nelson County,1201.8
North Carolina,Chowan County,1202.6
Iowa,Clay County,1204.3
Montana,Big Horn County,1204.7
Wisconsin,Price County,1205
Virginia,Lancaster County,1206.7
Michigan,Presque Isle County,1207.4
South Dakota,Beadle County,1210.1
Kentucky,Garrard County,1210.7
Iowa,Wright County,1210.8
Arkansas,Fulton County,1211.8
Virginia,Lunenburg County,1211.8
New Mexico,Colfax County,1213.3
Oregon,Hood River County,1213.8
Illinois,Douglas County,1214.8
Texas,Hockley County,1216.2
Michigan,Lake County,1216.6
Texas,Hutchinson County,1218.2
Virginia,Appomattox County,1221
Illinois,Mercer County,1224
North Dakota,Stutsman County,1224.4
West Virginia,Grant County,1228.7
Mississippi,Yalobusha County,1231.3
Kentucky,Fleming County,1231.4
Missouri,Gasconade County,1233.1
Wisconsin,Lafayette County,1233.1
Georgia,Lamar County,1234.4
Idaho,Jerome County,1234.9
Tennessee,Wayne County,1235.1
Texas,Gonzales County,1236.3
Iowa,Carroll County,1238.9
Arkansas,Lawrence County,1240.7
Illinois,Edgar County,1242.3
Missouri,Mississippi County,1244.6
Texas,Eastland County,1246.8
Missouri,Wright County,1247
Kansas,Seward County,1248.6
Texas,Jones County,1249.9
Kentucky,Casey County,1251.9
South Carolina,Calhoun County,1253.9
Missouri,Macon County,1255
Idaho,Blaine County,1259.4
Wisconsin,Taylor County,1259.7
West Virginia,Lewis County,1261.4
Missouri,Livingston County,1261.6
New Mexico,Sierra County,1261.8
Georgia,Dooly County,1263.6
Minnesota,Waseca County,1266.3
Georgia,Pulaski County,1267
Indiana,Perry County,1267.8
Kentucky,Simpson County,1268.6
New Mexico,Socorro County,1269.2
Texas,Leon County,1269.5
Alabama,Fayette County,1270.9
Texas,Gray County,1271.1
Montana,Glacier County,1271.9
Illinois,Hancock County,1273.1
Iowa,Poweshiek County,1275.5
Kentucky,Mason County,1277.3
Minnesota,Kanabec County,1281.5
Louisiana,Claiborne Parish,1284.7
West Virginia,Monroe County,1286.2
Colorado,Las Animas County,1286.3
Illinois,Crawford County,1290.5
Mississippi,Amite County,1290.7
Texas,Dewitt County,1291.8
Idaho,Madison County,1291.9
Alabama,Lamar County,1294.2
Colorado,Park County,1295.3
South Carolina,Bamberg County,1295.4
Indiana,Fountain County,1295.8
South Carolina,Mccormick County,1295.8
Washington,Adams County,1297
Alabama,Crenshaw County,1297.1
Florida,Hamilton County,1298.2
Ohio,Harrison County,1299.2
Minnesota,Houston County,1302.9
Kansas,Dickinson County,1303.3
Oregon,Baker County,1304.4
Utah,San Juan County,1304.5
Colorado,Chaffee County,1308
North Carolina,Avery County,1310.8
Florida,Calhoun County,1311.7
Texas,Bosque County,1312.5
Texas,Burleson County,1313.4
Georgia,Elbert County,1314.6
Oklahoma,Texas County,1318.8
Georgia,Banks County,1319
Minnesota,Sibley County,1319.2
California,Inyo County,1320.6
Idaho,Shoshone County,1320.8
Kentucky,Marion County,1321
Virginia,Colonial Heights City,1321.3
Mississippi,Tallahatchie County,1321.6
Mississippi,Greene County,1322.9
Colorado,Summit County,1324
Tennessee,Sequatchie County,1325.3
Kentucky,Rockcastle County,1327.3
Tennessee,Humphreys County,1330.4
Oklahoma,Choctaw County,1331.2
Missouri,Pike County,1331.3
Colorado,Otero County,1331.6
Iowa,Delaware County,1334.3
Kentucky,Harrison County,1334.5
Indiana,Rush County,1335.1
Tennessee,Unicoi County,1335.3
Mississippi,Calhoun County,1335.4
North Carolina,Yancey County,1336.6
Louisiana,Franklin Parish,1337.1
Indiana,Tipton County,1337.2
Virginia,Bristol City,1337.3
Texas,Young County,1338.4
Missouri,Dent County,1338.9
Wisconsin,Rusk County,1340.1
Texas,Montague County,1340.5
California,Mariposa County,1344.8
Tennessee,Smith County,1346.3
West Virginia,Hardy County,1346.4
South Dakota,Davison County,1347.1
New Mexico,Lincoln County,1347.5
Arkansas,Clay County,1348.4
Missouri,Bates County,1348.9
Kansas,Osage County,1352.2
Texas,Freestone County,1353.8
Kentucky,Bourbon County,1355.5
Massachusetts,Dukes County,1358.9
Tennessee,Johnson County,1359.6
Missouri,Nodaway County,1360.5
Georgia,Jefferson County,1362.4
Alabama,Choctaw County,1362.9
Michigan,Gogebic County,1363.2
Wisconsin,Richland County,1363.4
Ohio,Noble County,1364.6
Florida,Union County,1366.2
Virginia,Alleghany County,1368.4
Illinois,Fayette County,1368.9
Arkansas,Sevier County,1369.6
Georgia,Mcintosh County,1371
Idaho,Jefferson County,1372.2
Indiana,Brown County,1373.5
Florida,Jefferson County,1373.9
Virginia,Nottoway County,1375.2
Georgia,Brooks County,1376.8
Arkansas,Drew County,1377.1
Virginia,Greene County,1381.8
Tennessee,Morgan County,1387.5
Tennessee,Benton County,1388.4
Arkansas,Jackson County,1389.5
Indiana,Parke County,1392
Virginia,Waynesboro City,1392.4
Oklahoma,Beckham County,1392.7
Florida,Gulf County,1394.1
Georgia,Ben Hill County,1397.8
Texas,Lavaca County,1398.4
Iowa,Mahaska County,1398.7
Kansas,Bourbon County,1402.9
Virginia,Grayson County,1406.2
Iowa,Jackson County,1407.4
South Carolina,Lee County,1409.7
Michigan,Kalkaska County,1411.2
Kentucky,Spencer County,1413.7
Mississippi,Stone County,1417
Mississippi,Covington County,1419.2
Iowa,Fayette County,1422.4
Pennsylvania,Potter County,1424.3
Utah,Sevier County,1424.4
Arkansas,Grant County,1426.3
Missouri,Vernon County,1426.4
West Virginia,Wetzel County,1427.7
Iowa,Hardin County,1432.4
Iowa,Kossuth County,1433.5
Oklahoma,Marshall County,1434.9
Iowa,Dickinson County,1436.1
Indiana,Spencer County,1438.7
Georgia,Brantley County,1446.9
Iowa,Clayton County,1447.5
Alabama,Hale County,1449.1
Pennsylvania,Montour County,1452.9
Minnesota,Dodge County,1453.5
Missouri,Morgan County,1456.6
Louisiana,Richland Parish,1457.2
Wisconsin,Kewaunee County,1457.2
Kentucky,Mccreary County,1458.4
Iowa,Plymouth County,1463.8
Iowa,Washington County,1464.9
Illinois,Perry County,1466.4
Indiana,Jay County,1470.4
Tennessee,Union County,1471.1
South Dakota,Yankton County,1474.5
Mississippi,Smith County,1477.6
West Virginia,Roane County,1478.5
Oklahoma,Woodward County,1481.5
Arkansas,Franklin County,1481.6
Wisconsin,Burnett County,1482
Kentucky,Hart County,1482.6
Missouri,Ste. Genevieve County,1483.9
Utah,Wasatch County,1486.7
Illinois,Saline County,1488.4
Indiana,Fulton County,1497.5
Virginia,Fredericksburg City,1498.5
Missouri,Perry County,1499.2
South Dakota,Lawrence County,1499.8
Ohio,Paulding County,1500.3
Minnesota,Aitkin County,1502
Louisiana,Plaquemines Parish,1502.4
Georgia,Appling County,1508.1
Texas,Kleberg County,1509.5
Wisconsin,Jackson County,1509.7
Mississippi,Jasper County,1509.8
Wisconsin,Langlade County,1510.3
Virginia,Giles County,1511.9
Kentucky,Anderson County,1512.5
Minnesota,Meeker County,1513
Missouri,Adair County,1513
Utah,Carbon County,1520.5
Idaho,Cassia County,1522.4
Nebraska,Washington County,1522.4
Vermont,Lamoille County,1523.6
Alabama,Henry County,1525.6
Virginia,Buckingham County,1526.8
Mississippi,George County,1527.9
Kentucky,Clay County,1529.6
Kansas,Geary County,1530.2
Kentucky,Adair County,1530.3
West Virginia,Braxton County,1531.8
Kentucky,Trigg County,1532
Idaho,Gem County,1533.7
Georgia,Franklin County,1534.1
Wyoming,Lincoln County,1538.8
Wisconsin,Green Lake County,1539.9
Missouri,Clinton County,1540.3
Colorado,Routt County,1541.3
Arkansas,Sharp County,1542.7
North Carolina,Greene County,1548.1
Virginia,New Kent County,1550.2
Iowa,Henry County,1552
Illinois,Shelby County,1553.6
California,Plumas County,1554.2
Ohio,Vinton County,1555.8
Idaho,Minidoka County,1556.9
Idaho,Idaho County,1558.3
Texas,Trinity County,1558.3
Wisconsin,Iowa County,1558.9
Indiana,Franklin County,1561.5
Iowa,Page County,1565.1
Kentucky,Rowan County,1571.1
Mississippi,Attala County,1571.4
Louisiana,East Feliciana Parish,1576.1
Kentucky,Russell County,1580.3
Indiana,Carroll County,1586.6
Indiana,Sullivan County,1589.2
Virginia,Brunswick County,1591.7
Illinois,Jersey County,1592.2
Colorado,Logan County,1596.1
Iowa,Bremer County,1599.5
Mississippi,Walthall County,1601.1
Missouri,Ray County,1606.7
Texas,Panola County,1607.4
Kentucky,Breckinridge County,1607.9
Arkansas,Cross County,1610.6
North Dakota,Rolette County,1612
Georgia,Pike County,1612.9
Missouri,Wayne County,1615.1
Tennessee,Polk County,1619.2
Texas,Lampasas County,1619.8
Georgia,Morgan County,1622.4
Texas,Limestone County,1622.5
Nebraska,Dawson County,1632.8
Georgia,Rabun County,1636.9
Texas,Calhoun County,1637.7
Louisiana,Union Parish,1642.3
Michigan,Benzie County,1643.9
Minnesota,Lyon County,1645.2
Minnesota,Nobles County,1645.5
Texas,Uvalde County,1654.5
Louisiana,Concordia Parish,1656.5
Georgia,Berrien County,1656.9
Kentucky,Allen County,1658.8
Wyoming,Park County,1662.4
California,Glenn County,1662.9
Texas,Milam County,1663.1
Georgia,Mitchell County,1664.4
Louisiana,Sabine Parish,1671.2
Missouri,Crawford County,1671.7
Iowa,Buchanan County,1672.5
Arkansas,Randolph County,1672.6
Minnesota,Wabasha County,1677.1
Arkansas,Marion County,1677.5
Indiana,Starke County,1678.4
New York,Schuyler County,1678.6
Minnesota,Martin County,1680.6
Tennessee,Scott County,1680.8
Florida,Gilchrist County,1689.6
Michigan,Otsego County,1691
Arkansas,Conway County,1692.4
North Carolina,Caswell County,1692.7
Virginia,Staunton City,1697.3
Kentucky,Knott County,1700.7
Kansas,Pottawatomie County,1700.9
Louisiana,Grant Parish,1701.9
Mississippi,Chickasaw County,1705.1
North Carolina,Warren County,1706.2
North Carolina,Madison County,1707.1
Wyoming,Albany County,1707.3
Alabama,Bibb County,1708.3
Mississippi,Clarke County,1712.1
West Virginia,Barbour County,1715.1
Minnesota,Hubbard County,1715.2
Arkansas,Yell County,1717.2
Pennsylvania,Juniata County,1717.4
Maine,Piscataquis County,1721.1
Georgia,Putnam County,1725.6
Wisconsin,Vernon County,1726.4
Florida,Glades County,1730.3
Arkansas,Polk County,1731.1
North Carolina,Northampton County,1731.3
Oregon,Jefferson County,1732.5
Missouri,Saline County,1733.7
Georgia,Greene County,1734.7
Wisconsin,Juneau County,1736.1
South Dakota,Meade County,1736.9
Nebraska,Saunders County,1737.3
Arkansas,Clark County,1741.1
South Carolina,Hampton County,1742
Virginia,Patrick County,1743.6
North Dakota,Stark County,1745.2
Louisiana,Allen Parish,1745.5
Texas,Shelby County,1746.7
Texas,Colorado County,1752.1
Georgia,Crisp County,1753.7
Mississippi,Yazoo County,1754
Idaho,Elmore County,1754.4
Illinois,Mcdonough County,1758.6
Michigan,Menominee County,1759.5
Missouri,Pemiscot County,1762.6
Michigan,Leelanau County,1765.5
Missouri,New Madrid County,1770.7
Texas,Hale County,1772.7
West Virginia,Taylor County,1782.7
Texas,Tyler County,1784.2
Nebraska,Gage County,1786.6
Iowa,Jones County,1787.6
Georgia,Cook County,1789.9
Kentucky,Mercer County,1792.1
Tennessee,Dekalb County,1792.9
Wisconsin,Sawyer County,1795.1
Colorado,Morgan County,1795.5
Florida,Dixie County,1795.6
Virginia,Fairfax City,1795.7
Kansas,Labette County,1797.6
Kansas,Ellis County,1798.4
Kansas,Jefferson County,1799.7
Tennessee,Overton County,1800.8
Kentucky,Wayne County,1809.1
Tennessee,Grainger County,1809.8
Georgia,Toombs County,1810.1
Nebraska,Dakota County,1811.7
South Dakota,Brookings County,1811.9
North Dakota,Williams County,1812.9
Mississippi,Tishomingo County,1813.2
Virginia,Westmoreland County,1815.5
Virginia,Winchester City,1816.1
Washington,Klickitat County,1817.3
Minnesota,Fillmore County,1819.3
Louisiana,Morehouse Parish,1820
Oklahoma,Jackson County,1822.6
Texas,Bandera County,1825.5
Michigan,Charlevoix County,1827.3
Arkansas,Arkansas County,1831.6
Illinois,Logan County,1832.6
Georgia,Mcduffie County,1833.5
Virginia,Southampton County,1835.1
Maryland,Kent County,1838.2
Virginia,Hopewell City,1838.3
Virginia,King George County,1839.6
Texas,Bee County,1841
Oklahoma,Custer County,1844.1
Utah,Sanpete County,1845.7
Colorado,Elbert County,1846.8
California,Del Norte County,1852.6
Michigan,Osceola County,1853.3
Louisiana,Assumption Parish,1854.9
West Virginia,Morgan County,1855
Oregon,Tillamook County,1858.7
Kansas,Cherokee County,1863.4
Virginia,Prince Edward County,1869.4
Indiana,Wells County,1870.6
North Carolina,Bertie County,1876.6
Georgia,Union County,1881.8
Georgia,Tattnall County,1882.4
Idaho,Payette County,1882.6
Oklahoma,Adair County,1882.8
Missouri,Mcdonald County,1885.5
Utah,Summit County,1885.7
Georgia,Emanuel County,1886.6
Georgia,Telfair County,1887.3
Georgia,Pierce County,1888.6
Kentucky,Woodford County,1889.5
North Carolina,Polk County,1894.9
Georgia,Washington County,1897.3
Nebraska,Madison County,1897.9
Virginia,Salem City,1902.5
Texas,Titus County,1904.7
Minnesota,Todd County,1906.4
Tennessee,Haywood County,1907.2
North Carolina,Anson County,1909.6
Alabama,Winston County,1914.9
Georgia,Worth County,1915.6
Wisconsin,Waushara County,1917.3
South Carolina,Saluda County,1918.5
Wisconsin,Adams County,1923.6
Indiana,Randolph County,1926
Illinois,Jo Daviess County,1927.2
Kentucky,Meade County,1930.3
Michigan,Dickinson County,1930.9
Minnesota,Le Sueur County,1932.4
Colorado,Teller County,1933.9
Colorado,Montezuma County,1938.3
Iowa,Benton County,1939.2
North Carolina,Currituck County,1941.6
Minnesota,Brown County,1949.3
Georgia,Haralson County,1951.8
Vermont,Orleans County,1952.1
Wisconsin,Trempealeau County,1953
Kansas,Sumner County,1954.6
Kansas,Franklin County,1954.7
Indiana,Posey County,1955.5
Virginia,Buchanan County,1956.2
Oregon,Wasco County,1956.5
Wisconsin,Clark County,1957.7
Georgia,Dodge County,1958.2
Wisconsin,Lincoln County,1959.7
Indiana,Orange County,1960.5
Kentucky,Johnson County,1960.5
Kentucky,Taylor County,1964.6
California,Lassen County,1966.6
Mississippi,Wayne County,1968.1
Arkansas,Hempstead County,1969.5
Louisiana,Jefferson Davis Parish,1969.5
Texas,Houston County,1970.8
Illinois,Iroquois County,1971.7
Alabama,Monroe County,1974.1
Mississippi,Union County,1974.4
Georgia,Meriwether County,1974.7
Mississippi,Simpson County,1978.7
Illinois,Randolph County,1980
Missouri,Washington County,1980
Missouri,Miller County,1985.6
Vermont,Addison County,1990
Arkansas,Poinsett County,1997.4
Texas,Howard County,2001.7
Mississippi,Holmes County,2005.6
Michigan,Antrim County,2006.4
Alaska,Juneau City and Borough,2008
Kentucky,Grant County,2009.5
Oklahoma,Mcintosh County,2010.6
Minnesota,Nicollet County,2012.9
Mississippi,Newton County,2012.9
Texas,Grimes County,2016.5
Virginia,Fluvanna County,2017.1
Alabama,Washington County,2018.1
Indiana,Fayette County,2025
Missouri,Texas County,2025.2
Kentucky,Lincoln County,2025.9
Texas,Gillespie County,2029.4
Tennessee,Hickman County,2032.2
Texas,Palo Pinto County,2032.9
Illinois,Effingham County,2037.7
Kentucky,Grayson County,2040.5
Missouri,Henry County,2045
Tennessee,Fentress County,2047
Arkansas,Ashley County,2051.3
Arkansas,Logan County,2052.3
Ohio,Hocking County,2054.2
South Dakota,Codington County,2054.8
Oklahoma,Garvin County,2056.7
Tennessee,White County,2058.5
Michigan,Ogemaw County,2058.6
Illinois,Montgomery County,2058.7
Kentucky,Letcher County,2060.4
Texas,Llano County,2062.8
Ohio,Wyandot County,2067.5
South Carolina,Barnwell County,2068
North Carolina,Martin County,2070.7
West Virginia,Hampshire County,2070.7
Texas,Fayette County,2077.7
Louisiana,St. James Parish,2079.1
Mississippi,Prentiss County,2081.1
Georgia,Upson County,2085.1
Indiana,Scott County,2091.6
Indiana,Washington County,2092.3
Mississippi,Tippah County,2093.2
Wisconsin,Green County,2093.2
Kentucky,Ohio County,2093.3
Texas,Cass County,2096.5
New Mexico,Grant County,2097.9
Missouri,Audrain County,2100.9
Mississippi,Grenada County,2101
Georgia,Stephens County,2101.3
Kentucky,Montgomery County,2103
Georgia,Chattooga County,2104
Oregon,Crook County,2108.3
Ohio,Henry County,2112.9
Kentucky,Bell County,2113.2
Georgia,Burke County,2115.5
Montana,Lincoln County,2117.4
Georgia,Lumpkin County,2118.1
Minnesota,Mille Lacs County,2118.9
Louisiana,Pointe Coupee Parish,2122.2
Georgia,Jones County,2123.2
Georgia,Dawson County,2124.4
North Carolina,Montgomery County,2129.3
Vermont,Caledonia County,2133
Arizona,La Paz County,2133.5
Alabama,Marengo County,2136.2
Wyoming,Sheridan County,2136.7
Virginia,Page County,2137.6
North Carolina,Hertford County,2138.5
Louisiana,West Baton Rouge Parish,2141.5
South Carolina,Edgefield County,2142.4
Arkansas,Columbia County,2142.8
Michigan,Manistee County,2144.3
Oklahoma,Seminole County,2147.4
Iowa,Sioux County,2148.6
Texas,Erath County,2149.4
Indiana,Ripley County,2151
Wisconsin,Vilas County,2151.2
Indiana,Adams County,2153
Kansas,Lyon County,2156.1
Arkansas,Van Buren County,2166.7
Tennessee,Mcnairy County,2167
Alabama,Franklin County,2168.5
Alabama,Randolph County,2169.8
Arkansas,Phillips County,2173.5
Maine,Franklin County,2175.5
Tennessee,Rhea County,2175.8
Nebraska,Cass County,2176.1
Indiana,Owen County,2178.1
Mississippi,Leake County,2182
Washington,Whitman County,2186.3
Alabama,Pickens County,2190.2
Colorado,Delta County,2196.4
Minnesota,Freeborn County,2196.7
Vermont,Orange County,2197.6
Alabama,Butler County,2199.4
Kentucky,Logan County,2200.2
Virginia,Goochland County,2200.7
Alabama,Barbour County,2200.8
Mississippi,Winston County,2207
West Virginia,Upshur County,2207.7
Florida,Taylor County,2211.5
Mississippi,Coahoma County,2213
Indiana,Daviess County,2216.2
Texas,San Jacinto County,2221.9
Virginia,Rockbridge County,2228.2
Indiana,White County,2237.2
Missouri,Laclede County,2238.8
Illinois,Morgan County,2243
Oregon,Malheur County,2244.3
Tennessee,Hardeman County,2248
Missouri,Benton County,2249.3
Alabama,Macon County,2254.8
Michigan,Roscommon County,2254.8
Tennessee,Weakley County,2254.9
Kansas,Harvey County,2259.4
Texas,Fannin County,2262.5
Arkansas,Johnson County,2263.2
Washington,Asotin County,2263.7
Texas,Aransas County,2269.4
Illinois,Lee County,2271.3
Virginia,Powhatan County,2276.2
Florida,Madison County,2277.8
Georgia,Butts County,2279.7
Arkansas,Ouachita County,2280.1
Virginia,Manassas City,2281.1
Missouri,Randolph County,2282.5
New Mexico,Luna County,2282.6
Georgia,Hart County,2285
Kentucky,Perry County,2286.3
Georgia,Peach County,2291.6
West Virginia,Lincoln County,2293.5
Indiana,Clay County,2297.2
Alabama,Clarke County,2298.8
Kentucky,Knox County,2299.4
Kansas,Ford County,2301
Michigan,Houghton County,2301.7
West Virginia,Wyoming County,2304.8
Tennessee,Macon County,2307.4
Georgia,Monroe County,2307.7
Georgia,Lee County,2316.1
Arkansas,Cleburne County,2316.5
Illinois,Clinton County,2318.3
Michigan,Emmet County,2320.8
Iowa,Boone County,2321.4
Ohio,Holmes County,2324
Mississippi,Clay County,2334.8
Kansas,Crawford County,2337.8
Georgia,Madison County,2339.1
Texas,Austin County,2339.4
Oregon,Union County,2339.9
Ohio,Putnam County,2340.4
Indiana,Gibson County,2341.7
Indiana,Jefferson County,2342.1
Tennessee,Carroll County,2350.8
West Virginia,Mcdowell County,2353.1
Kansas,Mcpherson County,2353.5
Wisconsin,Door County,2354.8
Georgia,Decatur County,2355.3
Missouri,Pulaski County,2356.9
Iowa,Marion County,2359.8
Mississippi,Copiah County,2362.7
Wyoming,Sweetwater County,2368.3
Oregon,Curry County,2369.3
Mississippi,Itawamba County,2371.8
Illinois,Fulton County,2373.9
Missouri,Marion County,2374.8
New York,Lewis County,2377.2
Florida,Holmes County,2380
Michigan,Gladwin County,2380.9
Georgia,Grady County,2381.4
Texas,Chambers County,2387.3
Texas,Val Verde County,2387.7
Georgia,Bryan County,2388.7
Colorado,Eagle County,2388.8
Missouri,Polk County,2397.6
Illinois,Woodford County,2400.8
Kansas,Finney County,2404.5
Illinois,Jefferson County,2405.3
Indiana,Lagrange County,2407.3
Texas,Washington County,2409.8
Idaho,Latah County,2412.1
Minnesota,Cass County,2412.1
Illinois,Christian County,2413.7
Indiana,Jasper County,2415
Virginia,Charlottesville City,2417.3
Minnesota,Kandiyohi County,2422.7
Indiana,Clinton County,2423.2
Minnesota,Douglas County,2423.2
Georgia,White County,2425.2
New Mexico,Taos County,2425.7
New York,Yates County,2427.4
Minnesota,Becker County,2428.6
Arkansas,Carroll County,2433.3
South Carolina,Fairfield County,2444
Texas,Cooke County,2446.7
Indiana,Whitley County,2447.4
Illinois,Bureau County,2452.4
Kansas,Miami County,2452.6
Pennsylvania,Wyoming County,2454.3
Arkansas,St. Francis County,2459.7
Vermont,Windham County,2465.4
Pennsylvania,Elk County,2467.8
Michigan,Mason County,2476.7
Washington,Pacific County,2483
Minnesota,Mcleod County,2483.1
Wisconsin,Marinette County,2483.8
Alabama,Marion County,2485.1
Texas,Hopkins County,2487.8
Indiana,Decatur County,2488.3
Kansas,Barton County,2488.4
Mississippi,Leflore County,2489.9
South Carolina,Abbeville County,2491.6
Utah,Uintah County,2496.5
Michigan,Alpena County,2502.9
Wyoming,Campbell County,2504.2
Minnesota,Polk County,2512.7
Michigan,Cheboygan County,2514.1
Indiana,Jennings County,2517.3
Louisiana,De Soto Parish,2519.9
Texas,Upshur County,2520.4
Tennessee,Lincoln County,2520.7
Florida,Hardee County,2522.8
Minnesota,Steele County,2525.2
Ohio,Meigs County,2526.9
North Carolina,Ashe County,2527.2
New York,Schoharie County,2531.8
Oklahoma,Mcclain County,2532.4
North Carolina,Dare County,2539.3
South Carolina,Dillon County,2539.7
Georgia,Fannin County,2540.2
Mississippi,Sunflower County,2549.5
Maryland,Somerset County,2553.9
Oklahoma,Ottawa County,2561.6
Nebraska,Platte County,2561.7
Ohio,Hardin County,2563.7
West Virginia,Brooke County,2565.7
Ohio,Perry County,2570.9
Missouri,Warren County,2571
Kentucky,Boyle County,2576.9
Tennessee,Marshall County,2579.1
Wisconsin,Grant County,2580.4
Kentucky,Marshall County,2581.1
Minnesota,Pine County,2582.2
Virginia,Lee County,2582.6
West Virginia,Mason County,2590.3
Florida,Wakulla County,2601.5
Virginia,Carroll County,2602.7
Montana,Lake County,2606
Wyoming,Fremont County,2607.6
Maine,Lincoln County,2608.6
Minnesota,Isanti County,2608.8
Wisconsin,Pierce County,2608.9
