State,County,median_household_income,total_population,Diabetes Estimate
Virginia,Essex County,51125.0,10960.0,1086.3
Indiana,Vermillion County,54361.0,15485.0,1086.9
Iowa,Buena Vista County,54014.0,19950.0,1088.5
Virginia,Stafford County,112247.0,150185.0,10891.5
Connecticut,Middlesex County,84907.0,162742.0,10896.2
Kansas,Lane County,41318.0,1523.0,109.6
Virginia,Middlesex County,57060.0,10642.0,1090.5
Wisconsin,Crawford County,51218.0,16155.0,1091.2
Utah,Millard County,63221.0,12963.0,1091.4
Oregon,Linn County,59547.0,127216.0,10918
Tennessee,Madison County,48396.0,97838.0,10935.9
California,Madera County,61924.0,155925.0,10935.9
Missouri,Ripley County,36066.0,13484.0,1094.4
Idaho,Gooding County,50057.0,15280.0,1094.8
Illinois,Piatt County,73668.0,16412.0,1096.2
Kentucky,Jackson County,31515.0,13368.0,1098.7
North Carolina,Pamlico County,48531.0,12673.0,1101.3
Tennessee,Bradley County,51872.0,106924.0,11014.8
Wisconsin,Washburn County,51711.0,15726.0,1102.5
Nebraska,Saline County,52956.0,14221.0,1102.8
New Jersey,Cumberland County,55709.0,150085.0,11046.3
Kansas,Neosho County,49493.0,16008.0,1106.3
Georgia,Oglethorpe County,52816.0,15040.0,1106.6
Virginia,Northumberland County,59437.0,12151.0,1107.9
Montana,Yellowstone County,62630.0,160390.0,11090.3
Alabama,Sumter County,26150.0,12595.0,1110.2
Illinois,Warren County,54291.0,16981.0,1112.6
South Carolina,Orangeburg County,36802.0,86953.0,11143.4
Virginia,Portsmouth City,53213.0,94961.0,11149.6
North Carolina,Onslow County,51560.0,198377.0,11159.5
North Carolina,Washington County,30941.0,11788.0,1116
Tennessee,Bledsoe County,49382.0,14961.0,1116.8
Maine,Kennebec County,55368.0,122158.0,11183.8
Kentucky,Breathitt County,29538.0,12802.0,1119
Kentucky,Bath County,44893.0,12421.0,1119.2
Utah,Piute County,29125.0,1870.0,112.2
Kansas,Stanton County,57741.0,2030.0,112.8
Tennessee,Grundy County,43116.0,13371.0,1120.5
Florida,Hillsborough County,60566.0,1451358.0,112077.8
Alabama,Morgan County,52923.0,119352.0,11211
Illinois,Wayne County,50205.0,16309.0,1123.7
Connecticut,Litchfield County,81590.0,181143.0,11230.3
Pennsylvania,Franklin County,63420.0,154954.0,11231.7
Indiana,Delaware County,45910.0,114461.0,11243.1
Georgia,Macon County,31910.0,13107.0,1125.5
South Dakota,Minnehaha County,63699.0,191682.0,11258.4
Iowa,Union County,50375.0,12303.0,1126.4
Colorado,Grand County,71769.0,15536.0,1126.8
Tennessee,Chester County,53336.0,17260.0,1127.1
Georgia,Screven County,39852.0,13977.0,1127.3
Georgia,Long County,52099.0,19236.0,1128
