State,County,median_household_income,total_population,Diabetes Estimate
Indiana,Spencer County,56919.0,20364.0,1438.7
Oklahoma,Cimarron County,47095.0,2159.0,144.1
South Dakota,Haakon County,40673.0,1935.0,144.5
Missouri,Worth County,47500.0,2001.0,144.7
North Dakota,Renville County,69848.0,2387.0,144.9
Pennsylvania,Butler County,72642.0,187798.0,14427.7
Georgia,Brantley County,34679.0,18924.0,1446.9
Iowa,Clayton County,56456.0,17527.0,1447.5
Alabama,Hale County,30793.0,14754.0,1449.1
Florida,Broward County,60922.0,1942273.0,144911.8
New York,Saratoga County,85224.0,229313.0,14496.9
Pennsylvania,Montour County,59915.0,18178.0,1452.9
Minnesota,Dodge County,79020.0,20807.0,1453.5
Missouri,Morgan County,41477.0,20438.0,1456.6
Virginia,Newport News City,54511.0,179582.0,14563.8
Wisconsin,Kewaunee County,68474.0,20398.0,1457.2
Louisiana,Richland Parish,40491.0,20251.0,1457.2
Kentucky,Mccreary County,29499.0,17333.0,1458.4
Oregon,Gilliam County,41838.0,1896.0,146.4
Nebraska,Dundy County,49211.0,1928.0,146.8
Iowa,Scott County,63876.0,172938.0,14628.8
Iowa,Plymouth County,71147.0,25141.0,1463.8
Iowa,Washington County,63532.0,22100.0,1464.9
Illinois,Perry County,51616.0,21092.0,1466.4
Indiana,Jay County,45864.0,20697.0,1470.4
Florida,Okaloosa County,64373.0,207430.0,14709
Tennessee,Union County,45143.0,19678.0,1471.1
Florida,Highlands County,43708.0,104574.0,14728.3
South Dakota,Yankton County,61878.0,22746.0,1474.5
Ohio,Clark County,51504.0,134409.0,14760.9
Mississippi,Smith County,44714.0,15919.0,1477.6
Louisiana,Ouachita Parish,44934.0,154679.0,14772.9
West Virginia,Roane County,38895.0,13831.0,1478.5
North Dakota,Logan County,60592.0,1743.0,148.9
Oklahoma,Woodward County,56182.0,20352.0,1481.5
Arkansas,Franklin County,37561.0,17785.0,1481.6
Wisconsin,Burnett County,53555.0,15363.0,1482
Kentucky,Hart County,39834.0,18833.0,1482.6
Missouri,Ste. Genevieve County,61746.0,17887.0,1483.9
Utah,Wasatch County,85807.0,33053.0,1486.7
Illinois,Saline County,43928.0,23735.0,1488.4
Texas,Dickens County,41141.0,2182.0,149.2
Texas,Edwards County,40643.0,1944.0,149.6
South Dakota,Jerauld County,49265.0,2009.0,149.7
Kansas,Wyandotte County,48093.0,165447.0,14941.7
Indiana,Fulton County,50597.0,20069.0,1497.5
Virginia,Fredericksburg City,69528.0,29059.0,1498.5
Missouri,Perry County,56861.0,19227.0,1499.2
South Dakota,Lawrence County,52146.0,25806.0,1499.8
Nebraska,Gosper County,65086.0,2001.0,150.3
North Dakota,Burke County,79405.0,2142.0,150.4
Ohio,Paulding County,56531.0,18742.0,1500.3
Minnesota,Aitkin County,49086.0,15826.0,1502
Louisiana,Plaquemines Parish,65234.0,23305.0,1502.4
Texas,Hays County,68724.0,222827.0,15060.4
Georgia,Appling County,37924.0,18428.0,1508.1
Texas,Kleberg County,47301.0,30725.0,1509.5
Wisconsin,Jackson County,55228.0,20556.0,1509.7
Mississippi,Jasper County,37877.0,16454.0,1509.8
South Carolina,Florence County,49645.0,138237.0,15096.9
Wisconsin,Langlade County,52074.0,19167.0,1510.3
Indiana,Madison County,51476.0,129486.0,15103.9
Virginia,Giles County,57279.0,16760.0,1511.9
Kentucky,Anderson County,54413.0,22580.0,1512.5
Missouri,Adair County,42301.0,25468.0,1513
Minnesota,Meeker County,63841.0,23149.0,1513
New Mexico,De Baca County,31532.0,1995.0,152.1
Kansas,Wichita County,58299.0,2112.0,152.5
Utah,Carbon County,50328.0,20401.0,1520.5
Idaho,Cassia County,52256.0,23847.0,1522.4
Nebraska,Washington County,71505.0,20546.0,1522.4
Vermont,Lamoille County,64179.0,25376.0,1523.6
Alabama,Henry County,51715.0,17123.0,1525.6
Virginia,Buckingham County,48603.0,17087.0,1526.8
Mississippi,George County,47044.0,24098.0,1527.9
Kentucky,Clay County,27479.0,20110.0,1529.6
Montana,Wheatland County,35265.0,2138.0,153.3
Kansas,Geary County,52019.0,33309.0,1530.2
Kentucky,Adair County,43026.0,19366.0,1530.3
West Virginia,Braxton County,43819.0,14032.0,1531.8
Kentucky,Trigg County,50980.0,14569.0,1532
Idaho,Gem County,53720.0,17771.0,1533.7
Georgia,Franklin County,47821.0,23015.0,1534.1
Texas,Johnson County,65311.0,171359.0,15376
Wyoming,Lincoln County,71898.0,19640.0,1538.8
Wisconsin,Green Lake County,57339.0,18807.0,1539.9
Michigan,Wayne County,49359.0,1753059.0,153931.5
Wyoming,Niobrara County,46111.0,2377.0,154.5
Missouri,Clinton County,62213.0,20503.0,1540.3
Colorado,Routt County,76198.0,25317.0,1541.3
Arkansas,Sharp County,35573.0,17217.0,1542.7
Texas,Mclennan County,50210.0,254045.0,15428.3
North Carolina,Greene County,43563.0,20987.0,1548.1
Nebraska,Garfield County,54659.0,2081.0,155.8
Virginia,New Kent County,97688.0,22310.0,1550.2
Iowa,Henry County,54490.0,19889.0,1552
Oregon,Deschutes County,68937.0,191749.0,15526
Illinois,Shelby County,59134.0,21623.0,1553.6
California,Plumas County,57233.0,18844.0,1554.2
Ohio,Vinton County,45034.0,13045.0,1555.8
Idaho,Minidoka County,53011.0,20817.0,1556.9
Ohio,Warren County,89410.0,232540.0,15573
Maine,York County,68932.0,206074.0,15579.3
Texas,Trinity County,44052.0,14689.0,1558.3
Idaho,Idaho County,44951.0,16511.0,1558.3
Wisconsin,Iowa County,68714.0,23632.0,1558.9
Massachusetts,Barnstable County,76863.0,213505.0,15600.5
Indiana,Franklin County,68180.0,22750.0,1561.5
Maryland,Charles County,103678.0,161448.0,15642.1
Iowa,Page County,51196.0,15205.0,1565.1
Michigan,Muskegon County,53478.0,173679.0,15673
Illinois,Sangamon County,61743.0,195963.0,15681.2
Florida,Indian River County,57945.0,156964.0,15685.4
South Dakota,Mcpherson County,51379.0,2316.0,157.6
North Dakota,Towner County,49464.0,2191.0,157.9
Virginia,Norfolk City,53026.0,244300.0,15701.6
North Carolina,Brunswick County,59763.0,137303.0,15704.9
Kentucky,Rowan County,42754.0,24534.0,1571.1
Mississippi,Attala County,35631.0,18308.0,1571.4
Texas,Tarrant County,70306.0,2077153.0,157494.1
New York,Broome County,52237.0,192042.0,15753.8
Louisiana,East Feliciana Parish,54187.0,19228.0,1576.1
Ohio,Delaware County,111411.0,205454.0,15781.7
Kentucky,Robertson County,53074.0,2139.0,158
Kentucky,Russell County,41731.0,17846.0,1580.3
New Mexico,Doña Ana County,44024.0,217696.0,15833.9
Indiana,Carroll County,56159.0,20137.0,1586.6
Georgia,Houston County,65870.0,155317.0,15867.1
Hawaii,Hawaii County,65401.0,201350.0,15887.5
Indiana,Sullivan County,49449.0,20647.0,1589.2
Virginia,Brunswick County,46111.0,16336.0,1591.7
Illinois,Jersey County,67845.0,21776.0,1592.2
Pennsylvania,Lackawanna County,54064.0,210162.0,15924.4
Colorado,Logan County,49560.0,22282.0,1596.1
Iowa,Bremer County,72209.0,25032.0,1599.5
Mississippi,Walthall County,33566.0,14423.0,1601.1
Alaska,Anchorage Municipality,84813.0,292090.0,16056.6
Missouri,Ray County,65303.0,22900.0,1606.7
Texas,Panola County,51297.0,23186.0,1607.4
Kentucky,Breckinridge County,47236.0,20283.0,1607.9
North Carolina,New Hanover County,56689.0,231448.0,16093.2
Arkansas,Cross County,44379.0,16576.0,1610.6
North Dakota,Rolette County,46481.0,14437.0,1612
Georgia,Pike County,68138.0,18565.0,1612.9
Missouri,Wayne County,38018.0,13058.0,1615.1
Tennessee,Polk County,45326.0,16807.0,1619.2
Texas,Lampasas County,64808.0,21152.0,1619.8
North Dakota,Bowman County,70521.0,3091.0,162.5
Georgia,Morgan County,68669.0,18832.0,1622.4
Texas,Limestone County,45781.0,23364.0,1622.5
Florida,Santa Rosa County,70663.0,179587.0,16290.1
Oklahoma,Harmon County,53087.0,2663.0,163.3
North Dakota,Kidder County,52063.0,2468.0,163.4
Florida,Bay County,56483.0,180076.0,16305.8
Nebraska,Dawson County,56731.0,23638.0,1632.8
California,San Bernardino County,65761.0,2162532.0,163202.1
Georgia,Rabun County,44871.0,16859.0,1636.9
Texas,Calhoun County,57170.0,21470.0,1637.7
Oregon,Jackson County,56327.0,218781.0,16376.9
South Dakota,Mellette County,33882.0,2065.0,164
South Dakota,Miner County,53135.0,2213.0,164.9
Louisiana,Union Parish,45094.0,22270.0,1642.3
Indiana,Vanderburgh County,51179.0,181548.0,16420.5
Pennsylvania,Washington County,65478.0,207081.0,16429.2
Michigan,Benzie County,64257.0,17703.0,1643.9
Minnesota,Lyon County,57274.0,25696.0,1645.2
Minnesota,Nobles County,56000.0,21667.0,1645.5
North Carolina,Union County,82557.0,235767.0,16451.9
North Carolina,Cabarrus County,71177.0,211605.0,16497.8
Colorado,Sedgwick County,43875.0,2306.0,165.2
North Dakota,Steele County,77167.0,1817.0,165.4
North Dakota,Adams County,48750.0,2271.0,165.6
South Dakota,Sanborn County,55398.0,2372.0,165.7
Texas,Uvalde County,45936.0,26899.0,1654.5
Louisiana,Concordia Parish,36294.0,19533.0,1656.5
Georgia,Berrien County,42089.0,19206.0,1656.9
Kentucky,Allen County,44180.0,21065.0,1658.8
Texas,Bexar County,58288.0,1978826.0,165891.5
Utah,Weber County,71275.0,255284.0,16594
Nebraska,Greeley County,46830.0,2361.0,166.2
Kansas,Sheridan County,62105.0,2515.0,166.3
Wyoming,Park County,63684.0,29273.0,1662.4
California,Glenn County,51682.0,28060.0,1662.9
Texas,Milam County,48253.0,24797.0,1663.1
Georgia,Mitchell County,39404.0,22072.0,1664.4
Iowa,Linn County,67301.0,225601.0,16657.1
North Dakota,Eddy County,52895.0,2262.0,167.5
Texas,Cochran County,41000.0,2860.0,167.8
Nebraska,Boyd County,53846.0,1882.0,167.8
Colorado,Dolores County,56786.0,1896.0,167.9
Louisiana,Sabine Parish,39755.0,23915.0,1671.2
Missouri,Crawford County,44380.0,23984.0,1671.7
Iowa,Buchanan County,67252.0,21141.0,1672.5
Arkansas,Randolph County,42844.0,17934.0,1672.6
Minnesota,Wabasha County,67906.0,21564.0,1677.1
Arkansas,Marion County,38426.0,16586.0,1677.5
Indiana,Starke County,49705.0,22996.0,1678.4
New York,Schuyler County,53291.0,17845.0,1678.6
North Dakota,Hettinger County,59750.0,2510.0,168.2
Kansas,Graham County,40890.0,2464.0,168.2
Minnesota,Martin County,53851.0,19737.0,1680.6
Tennessee,Scott County,37135.0,22020.0,1680.8
Georgia,Hall County,63651.0,201434.0,16870.6
Florida,Gilchrist County,47381.0,18245.0,1689.6
Montana,Liberty County,46750.0,2455.0,169.8
Michigan,Otsego County,55917.0,24613.0,1691
Arkansas,Conway County,44456.0,20895.0,1692.4
North Carolina,Caswell County,47938.0,22619.0,1692.7
Virginia,Staunton City,52292.0,24660.0,1697.3
Texas,King County,39286.0,279.0,17.6
Texas,Sherman County,57130.0,3046.0,170.2
North Dakota,Griggs County,53917.0,2314.0,170.7
Kentucky,Knott County,32531.0,15041.0,1700.7
Kansas,Pottawatomie County,70064.0,24203.0,1700.9
Louisiana,Grant Parish,51449.0,22339.0,1701.9
North Carolina,Buncombe County,55032.0,259576.0,17037.1
Washington,Yakima County,54917.0,250649.0,17040.5
Mississippi,Chickasaw County,35592.0,17060.0,1705.1
North Carolina,Warren County,37476.0,19746.0,1706.2
North Carolina,Madison County,46190.0,21608.0,1707.1
Wyoming,Albany County,51362.0,38664.0,1707.3
Alabama,Bibb County,51721.0,22374.0,1708.3
Wisconsin,Brown County,64728.0,262559.0,17086.3
Mississippi,Clarke County,38631.0,15612.0,1712.1
North Carolina,Gaston County,53474.0,222119.0,17143.4
West Virginia,Barbour County,38906.0,16543.0,1715.1
Minnesota,Hubbard County,58475.0,21287.0,1715.2
Arkansas,Yell County,47981.0,21425.0,1717.2
Pennsylvania,Juniata County,53502.0,24657.0,1717.4
Maine,Piscataquis County,42083.0,16864.0,1721.1
Georgia,Putnam County,52910.0,21906.0,1725.6
Wisconsin,Vernon County,54549.0,30759.0,1726.4
Florida,Glades County,39709.0,13777.0,1730.3
Tennessee,Sumner County,69878.0,187680.0,17306.6
Arkansas,Polk County,39084.0,19999.0,1731.1
North Carolina,Northampton County,38969.0,19672.0,1731.3
Michigan,Kalamazoo County,58836.0,264322.0,17311.2
Oregon,Jefferson County,55844.0,24048.0,1732.5
Missouri,Saline County,47585.0,22932.0,1733.7
Georgia,Greene County,57880.0,17808.0,1734.7
Wisconsin,Juneau County,53928.0,26603.0,1736.1
South Dakota,Meade County,62275.0,28149.0,1736.9
Kansas,Shawnee County,58652.0,177293.0,17362.5
Nebraska,Saunders County,70414.0,21356.0,1737.3
Minnesota,Washington County,97584.0,259072.0,17371.7
Texas,Schleicher County,45250.0,2898.0,174.2
Texas,Menard County,43826.0,2108.0,174.6
Arkansas,Clark County,39500.0,22341.0,1741.1
South Carolina,Hampton County,38178.0,19223.0,1742
Virginia,Patrick County,46941.0,17660.0,1743.6
North Dakota,Stark County,69412.0,31164.0,1745.2
Louisiana,Allen Parish,48328.0,25572.0,1745.5
Texas,Shelby County,41170.0,25263.0,1746.7
Kansas,Morton County,41866.0,2656.0,175.2
Texas,Collingsworth County,41202.0,2939.0,175.7
Texas,Colorado County,52663.0,21357.0,1752.1
Georgia,Crisp County,38272.0,22509.0,1753.7
Mississippi,Yazoo County,32729.0,28511.0,1754
Idaho,Elmore County,45656.0,27043.0,1754.4
Florida,Citrus County,45689.0,147938.0,17565
Illinois,Mcdonough County,43591.0,30107.0,1758.6
Michigan,Menominee County,48548.0,22902.0,1759.5
Tennessee,Montgomery County,60878.0,204992.0,17607.6
Missouri,Pemiscot County,34709.0,16330.0,1762.6
Georgia,Forsyth County,112834.0,236605.0,17634.4
Michigan,Leelanau County,67330.0,21649.0,1765.5
Georgia,Muscogee County,47418.0,195418.0,17668.2
California,Merced County,56330.0,273661.0,17685.5
Alabama,Tuscaloosa County,54283.0,208854.0,17690.9
North Dakota,Divide County,64650.0,2289.0,177.5
Alaska,Hoonah-Angoon Census Area,59926.0,2135.0,177.6
Missouri,New Madrid County,40129.0,17275.0,1770.7
Texas,Hale County,47500.0,33463.0,1772.7
Alabama,Shelby County,78889.0,216350.0,17730.1
Tennessee,Sullivan County,47438.0,157707.0,17742.8
Arkansas,Washington County,52380.0,236198.0,17789.8
Colorado,Larimer County,76366.0,350523.0,17790.4
Missouri,Clay County,72047.0,246480.0,17804.5
West Virginia,Taylor County,52958.0,16817.0,1782.7
Texas,Tyler County,47865.0,21524.0,1784.2
Nebraska,Gage County,51812.0,21548.0,1786.6
Iowa,Jones County,57134.0,20575.0,1787.6
Arizona,Yavapai County,53329.0,232396.0,17885.9
Georgia,Cook County,40943.0,17217.0,1789.9
Kentucky,Mercer County,52312.0,21690.0,1792.1
Tennessee,Dekalb County,44389.0,20104.0,1792.9
Wisconsin,Sawyer County,52022.0,16477.0,1795.1
Colorado,Morgan County,58468.0,28617.0,1795.5
Florida,Dixie County,41674.0,16740.0,1795.6
Virginia,Fairfax City,109708.0,23312.0,1795.7
Kansas,Labette County,47922.0,19938.0,1797.6
Kansas,Ellis County,57053.0,28747.0,1798.4
Kansas,Jefferson County,67429.0,18974.0,1799.7
South Dakota,Potter County,57120.0,2311.0,180.4
Tennessee,Overton County,36478.0,22171.0,1800.8
North Carolina,Iredell County,62551.0,178853.0,18069.7
Pennsylvania,Dauphin County,63123.0,277071.0,18084.5
Kentucky,Wayne County,37678.0,20447.0,1809.1
Tennessee,Grainger County,44703.0,23268.0,1809.8
Georgia,Toombs County,41244.0,26947.0,1810.1
Nebraska,Dakota County,61227.0,20124.0,1811.7
South Dakota,Brookings County,57471.0,35115.0,1811.9
North Dakota,Williams County,79508.0,36044.0,1812.9
Mississippi,Tishomingo County,38302.0,19396.0,1813.2
Virginia,Westmoreland County,53790.0,17873.0,1815.5
Virginia,Winchester City,61102.0,27912.0,1816.1
Washington,Klickitat County,56667.0,22055.0,1817.3
Minnesota,Fillmore County,64375.0,21031.0,1819.3
Louisiana,Morehouse Parish,33780.0,25189.0,1820
Oklahoma,Jackson County,52535.0,24808.0,1822.6
Texas,Bandera County,60361.0,22770.0,1825.5
Texas,Dallas County,61870.0,2622634.0,182542.3
Connecticut,New London County,75831.0,266868.0,18263.5
California,Riverside County,70732.0,2437864.0,182637.3
Michigan,Charlevoix County,60433.0,26197.0,1827.3
Arkansas,Benton County,71556.0,273510.0,18278.6
California,San Luis Obispo County,77948.0,282517.0,18308.4
Arkansas,Arkansas County,51000.0,17761.0,1831.6
Illinois,Logan County,58122.0,28818.0,1832.6
Georgia,Mcduffie County,47327.0,21404.0,1833.5
Virginia,Southampton County,63034.0,17829.0,1835.1
Michigan,Saginaw County,49565.0,191166.0,18352.9
New York,Kings County,63973.0,2576771.0,183570.6
Maryland,Kent County,60208.0,19456.0,1838.2
Virginia,Hopewell City,43262.0,22500.0,1838.3
Virginia,King George County,96711.0,26679.0,1839.6
Texas,Bee County,45287.0,32609.0,1841
South Carolina,Aiken County,53385.0,169947.0,18419.2
Oklahoma,Custer County,51351.0,28929.0,1844.1
Utah,Sanpete County,55820.0,30421.0,1845.7
Ohio,Clermont County,69720.0,205616.0,18455.3
Colorado,Elbert County,104231.0,26230.0,1846.8
Missouri,Jefferson County,67606.0,224777.0,18476
New York,Niagara County,57252.0,210145.0,18492.9
California,Santa Cruz County,89986.0,273170.0,18498.2
Texas,Reagan County,61659.0,3766.0,185.7
Florida,Leon County,54675.0,291863.0,18513.2
California,Del Norte County,49981.0,27692.0,1852.6
Michigan,Osceola County,46969.0,23323.0,1853.3
Louisiana,Assumption Parish,44742.0,22236.0,1854.9
Delaware,Kent County,60117.0,179124.0,18547.6
West Virginia,Morgan County,57116.0,17800.0,1855
Oregon,Tillamook County,54268.0,26782.0,1858.7
Texas,Lipscomb County,63182.0,3301.0,186.3
Washington,Garfield County,56923.0,2258.0,186.4
Kansas,Logan County,51136.0,2789.0,186.5
Montana,Powder River County,57755.0,1634.0,186.6
California,Marin County,121671.0,259441.0,18628.8
Kansas,Cherokee County,41936.0,20017.0,1863.4
Mississippi,Desoto County,69990.0,182256.0,18631.8
Virginia,Prince Edward County,44253.0,22892.0,1869.4
Kansas,Kiowa County,53107.0,2483.0,187.7
Indiana,Wells County,57565.0,28010.0,1870.6
North Carolina,Bertie County,35042.0,19081.0,1876.6
South Dakota,Aurora County,65132.0,2757.0,188
Georgia,Union County,49703.0,23999.0,1881.8
Georgia,Tattnall County,44053.0,25392.0,1882.4
Idaho,Payette County,52788.0,23705.0,1882.6
Oklahoma,Adair County,34375.0,22171.0,1882.8
Missouri,Mcdonald County,42876.0,22882.0,1885.5
Utah,Summit County,106973.0,41680.0,1885.7
Georgia,Emanuel County,38423.0,22525.0,1886.6
Georgia,Telfair County,32764.0,15871.0,1887.3
Virginia,Richmond City,51421.0,229233.0,18870.3
Georgia,Pierce County,48969.0,19336.0,1888.6
Kentucky,Woodford County,66442.0,26486.0,1889.5
Ohio,Licking County,67736.0,175409.0,18893.2
Michigan,Keweenaw County,51750.0,2102.0,189.1
North Carolina,Polk County,52125.0,20682.0,1894.9
Georgia,Washington County,36402.0,20316.0,1897.3
Nebraska,Madison County,52334.0,35023.0,1897.9
Nevada,Clark County,61048.0,2228866.0,189984.7
Kansas,Rawlins County,57281.0,2490.0,190.9
Virginia,Salem City,63411.0,25290.0,1902.5
New York,Oneida County,59113.0,229074.0,19036.1
Texas,Titus County,53406.0,32709.0,1904.7
Florida,Miami-Dade County,53975.0,2705528.0,190581.3
Minnesota,Todd County,54502.0,24603.0,1906.4
Tennessee,Haywood County,38994.0,17391.0,1907.2
Georgia,Bibb County,41317.0,153026.0,19089.8
North Carolina,Anson County,39799.0,24430.0,1909.6
Nebraska,Perkins County,61389.0,2889.0,191.7
Florida,Charlotte County,52724.0,185926.0,19102.5
Alabama,Winston County,40991.0,23712.0,1914.9
Georgia,Worth County,50913.0,20346.0,1915.6
Louisiana,Lafayette Parish,58761.0,243692.0,19158.3
Wisconsin,Waushara County,54320.0,24256.0,1917.3
South Carolina,Saluda County,43410.0,20292.0,1918.5
Nebraska,Frontier County,59250.0,2636.0,192.5
Texas,Lubbock County,53425.0,308392.0,19228.4
Wisconsin,Adams County,48906.0,20208.0,1923.6
Michigan,Ingham County,55253.0,290923.0,19251.9
Indiana,Randolph County,53322.0,24694.0,1926
Illinois,Jo Daviess County,59223.0,21429.0,1927.2
Kentucky,Meade County,61500.0,28379.0,1930.3
Michigan,Dickinson County,51704.0,25373.0,1930.9
Minnesota,Le Sueur County,75925.0,28425.0,1932.4
Colorado,Teller County,61463.0,24981.0,1933.9
Alabama,Baldwin County,61756.0,218289.0,19353.8
Maine,Cumberland County,76014.0,294520.0,19378.1
Colorado,Montezuma County,50717.0,26266.0,1938.3
Iowa,Benton County,66046.0,25558.0,1939.2
North Carolina,Currituck County,73741.0,27210.0,1941.6
Florida,Alachua County,50089.0,268105.0,19430.1
Pennsylvania,Cumberland County,71979.0,251487.0,19478.6
Michigan,Ottawa County,72418.0,289162.0,19482.3
Minnesota,Brown County,59804.0,25076.0,1949.3
Utah,Wayne County,49299.0,2698.0,195.4
Virginia,Highland County,51831.0,2202.0,195.7
Alaska,Haines Borough,65014.0,2547.0,195.8
Georgia,Haralson County,52021.0,29608.0,1951.8
Vermont,Orleans County,54390.0,26843.0,1952.1
Wisconsin,Trempealeau County,59606.0,29525.0,1953
Kansas,Sumner County,53578.0,22928.0,1954.6
Kansas,Franklin County,55873.0,25643.0,1954.7
Maryland,Howard County,124042.0,322407.0,19542.6
Virginia,Loudoun County,147111.0,405312.0,19548.5
Indiana,Posey County,64983.0,25480.0,1955.5
Virginia,Buchanan County,34302.0,21374.0,1956.2
Oregon,Wasco County,54725.0,26274.0,1956.5
Wisconsin,Clark County,54463.0,34668.0,1957.7
Georgia,Dodge County,42211.0,20725.0,1958.2
Wisconsin,Lincoln County,59183.0,27687.0,1959.7
Kentucky,Johnson County,38333.0,22427.0,1960.5
Indiana,Orange County,52164.0,19552.0,1960.5
Nebraska,Lancaster County,62464.0,315976.0,19612.2
Maryland,Frederick County,100685.0,255955.0,19627.6
New York,Dutchess County,81842.0,293524.0,19632.3
Kentucky,Taylor County,50266.0,25572.0,1964.6
New Jersey,Somerset County,116510.0,330151.0,19654.5
California,Lassen County,56971.0,30600.0,1966.6
Mississippi,Wayne County,33612.0,20344.0,1968.1
Louisiana,Jefferson Davis Parish,42716.0,31425.0,1969.5
Arkansas,Hempstead County,45484.0,21695.0,1969.5
Texas,Houston County,40838.0,22942.0,1970.8
Illinois,Iroquois County,54445.0,27437.0,1971.7
Alabama,Monroe County,31969.0,21006.0,1974.1
Mississippi,Union County,47317.0,28578.0,1974.4
Georgia,Meriwether County,40769.0,21080.0,1974.7
Mississippi,Simpson County,43403.0,26818.0,1978.7
Indiana,St. Joseph County,54433.0,270881.0,19781.2
Georgia,Cherokee County,84817.0,253780.0,19785.1
Idaho,Canyon County,56916.0,223890.0,19793.4
Nebraska,Pawnee County,46063.0,2640.0,198.7
Kansas,Chase County,48906.0,2604.0,198.8
Missouri,Washington County,42849.0,24819.0,1980
Illinois,Randolph County,55319.0,31973.0,1980
California,San Diego County,82426.0,3323970.0,198244.4
Missouri,Miller County,47964.0,25369.0,1985.6
Georgia,Henry County,71110.0,229994.0,19868.8
Washington,Kitsap County,78969.0,268945.0,19882.9
Texas,Upton County,59008.0,3651.0,199.2
Vermont,Addison County,70262.0,36947.0,1990
Mississippi,Harrison County,48547.0,206169.0,19914.4
Louisiana,Calcasieu Parish,52866.0,202858.0,19950.7
Arkansas,Poinsett County,40700.0,23747.0,1997.4
Utah,Davis County,87570.0,350761.0,19976.3
South Dakota,Stanley County,71602.0,3058.0,200.9
Texas,Howard County,57761.0,36213.0,2001.7
Illinois,Mchenry County,90014.0,307291.0,20017.6
Pennsylvania,Erie County,52863.0,272046.0,20023.7
Colorado,Weld County,74332.0,315389.0,20035.3
New Jersey,Gloucester County,89056.0,291745.0,20049.9
Mississippi,Holmes County,24074.0,17414.0,2005.6
Michigan,Antrim County,57256.0,23301.0,2006.4
Alaska,Juneau City And Borough,88077.0,32099.0,2008
Kentucky,Grant County,56746.0,25107.0,2009.5
Oklahoma,Mcintosh County,39588.0,19677.0,2010.6
Minnesota,Nicollet County,69174.0,34176.0,2012.9
Mississippi,Newton County,42176.0,21215.0,2012.9
Texas,Grimes County,56086.0,28447.0,2016.5
Illinois,St. Clair County,57473.0,261186.0,20161.7
Virginia,Fluvanna County,78885.0,26873.0,2017.1
Texas,Smith County,59450.0,230184.0,20173.5
Alabama,Washington County,42331.0,16336.0,2018.1
Indiana,Fayette County,47465.0,23068.0,2025
Missouri,Texas County,35758.0,25518.0,2025.2
Kentucky,Lincoln County,42231.0,24493.0,2025.9
Texas,Gillespie County,61445.0,26668.0,2029.4
Washington,Thurston County,75867.0,284698.0,20304
Tennessee,Hickman County,47457.0,25017.0,2032.2
Texas,Palo Pinto County,55986.0,28792.0,2032.9
New York,Albany County,68327.0,306165.0,20350.6
Illinois,Effingham County,59932.0,34151.0,2037.7
Texas,Hemphill County,59605.0,3901.0,204
South Dakota,Douglas County,61793.0,2913.0,204.7
Kentucky,Grayson County,38262.0,26313.0,2040.5
Arizona,Yuma County,48790.0,211931.0,20438.2
Louisiana,St. Tammany Parish,70730.0,258447.0,20444.7
Missouri,Henry County,47500.0,21854.0,2045
Tennessee,Fentress County,40203.0,18405.0,2047
South Dakota,Perkins County,61815.0,2996.0,205
Kansas,Gove County,53906.0,2650.0,205.6
South Dakota,Hanson County,63750.0,3423.0,205.6
Arkansas,Ashley County,43601.0,20000.0,2051.3
Arkansas,Logan County,44232.0,21619.0,2052.3
Ohio,Hocking County,54774.0,28306.0,2054.2
South Dakota,Codington County,57885.0,28133.0,2054.8
Oklahoma,Garvin County,47321.0,27789.0,2056.7
Tennessee,White County,44282.0,27087.0,2058.5
Michigan,Ogemaw County,41752.0,20895.0,2058.6
Illinois,Montgomery County,54886.0,28598.0,2058.7
Kentucky,Letcher County,33181.0,21936.0,2060.4
New York,Rockland County,94840.0,325213.0,20614.4
Texas,Llano County,58941.0,21452.0,2062.8
West Virginia,Kanawha County,47122.0,181014.0,20660.9
Ohio,Wyandot County,57925.0,21907.0,2067.5
South Carolina,Barnwell County,37572.0,21170.0,2068
North Carolina,Martin County,39909.0,22644.0,2070.7
West Virginia,Hampshire County,48528.0,23304.0,2070.7
Maryland,Harford County,94003.0,253736.0,20724.7
Ohio,Trumbull County,47799.0,199144.0,20734.8
Texas,Fayette County,62872.0,25247.0,2077.7
Louisiana,St. James Parish,53209.0,21142.0,2079.1
Kansas,Cheyenne County,42802.0,2639.0,208.5
New York,Queens County,72028.0,2270976.0,208048.2
Mississippi,Prentiss County,40163.0,25155.0,2081.1
Georgia,Upson County,39221.0,26329.0,2085.1
North Carolina,Johnston County,61806.0,203308.0,20870.6
Georgia,Glascock County,46500.0,2984.0,209
Georgia,Webster County,31629.0,2587.0,209.3
Indiana,Scott County,45123.0,23785.0,2091.6
Indiana,Washington County,50459.0,27942.0,2092.3
Wisconsin,Green County,66212.0,36790.0,2093.2
Mississippi,Tippah County,37894.0,21976.0,2093.2
Kentucky,Ohio County,45773.0,24081.0,2093.3
Ohio,Lake County,65814.0,229755.0,20946.9
South Carolina,Anderson County,53598.0,200183.0,20959
Texas,Cass County,47539.0,30002.0,2096.5
New Mexico,Grant County,37453.0,27391.0,2097.9
Texas,Crockett County,46695.0,3393.0,210.6
Kansas,Decatur County,44125.0,2826.0,210.7
Missouri,Audrain County,44699.0,25336.0,2100.9
Mississippi,Grenada County,39952.0,20927.0,2101
